County Name,Region Name,Media Market,Registered Voters,Total Voters,Turnout Percentage,James Jerome Bell (WI)*,Michael Bickelmeyer (WI)*,Darrell L. Castle (WI)*,Hillary Clinton (D),Richard Duncan,Cherunda Fox (WI)*,Ben Hartnell (WI)*,Tom Hoefling (WI)*,Bruce E. Jaynes (WI)*,Gary Johnson,Chris Keniston (WI)*,Barry Kirschner (WI)*,Laurence Kotlikoff (WI)*,Joseph Maldonado (WI)*,Michael Andrew Maturen (WI)*,Evan McMullin (WI)*,Monica Moorehead (WI)*,Joe Schriner (WI)*,Mike Smith (WI)*,Jill Stein (G),Josiah R. Stroh (WI)*,Douglas W. Thomson (WI)*,Donald J. Trump (R)
Total,,,7861025,5607641,0.713347305,9,6,1887,2394164,24235,5,589,268,8,174498,114,15,90,18,552,12574,19,62,62,46271,30,6,2841005
Percentage,,,,,,1.63741E-06,1.09161E-06,0.00034331,0.435580763,0.00440918,9.09672E-07,0.000107159,4.87584E-05,1.45548E-06,0.031747187,2.07405E-05,2.72902E-06,1.63741E-05,3.27482E-06,0.000100428,0.002287643,3.45675E-06,1.12799E-05,1.12799E-05,0.008418286,5.45803E-06,1.09161E-06,0.516876507
Adams,Southwest,Cincinnati,16945,11583,0.683564473,0,0,16,2326,62,0,0,4,0,226,0,0,0,0,0,17,0,2,0,47,0,0,8659
Allen,West,Lima,68054,46735,0.686734064,0,0,8,13294,225,0,0,0,0,1486,0,0,0,0,2,68,0,1,0,323,0,0,30487
Ashland,Northeast,Cleveland,35452,25104,0.708112377,0,0,15,5740,183,0,0,1,0,906,1,0,0,0,5,61,0,0,0,185,0,0,17493
Ashtabula,Northeast,Cleveland,60624,41797,0.689446424,0,0,4,15577,271,0,1,3,0,1213,0,0,0,1,0,51,0,1,0,427,0,0,23318
Athens,Southeast,Columbus,45418,30042,0.66145581,0,0,8,16370,130,0,0,0,0,1012,0,0,0,0,6,24,0,0,0,539,0,0,11354
Auglaize,West,Lima,31666,24019,0.758510705,0,0,3,3980,132,0,0,4,0,701,2,0,2,0,4,27,0,2,0,112,0,0,18658
Belmont,Southeast,Wheeling,46971,31848,0.678035384,0,0,4,8785,214,0,1,0,0,777,0,0,0,0,3,34,0,0,0,195,1,0,21108
Brown,Southwest,Cincinnati,28405,19889,0.700193628,0,0,4,4353,95,0,1,2,0,431,1,0,0,0,0,43,0,1,0,103,0,0,14573
Butler,Southwest,Cincinnati,247972,176301,0.7109714,0,0,71,58642,566,1,3,12,0,5790,3,1,0,0,16,579,0,3,3,1173,0,0,106976
Carroll,Northeast,Cleveland,18002,13368,0.742584157,0,0,10,3154,86,0,0,0,0,450,1,0,1,0,0,27,0,0,0,91,0,0,9254
Champaign,West,Dayton,25696,18548,0.721824408,0,0,10,4594,104,0,0,2,0,582,0,0,0,0,1,33,0,0,0,147,0,0,12631
Clark,West,Dayton,89006,62756,0.705076062,0,0,18,23328,326,0,6,10,0,1895,4,0,0,0,0,125,0,1,0,511,0,0,35205
Clermont,Southwest,Cincinnati,136454,100859,0.739142861,0,0,36,26715,321,0,3,7,0,3504,0,0,1,0,9,272,0,0,2,728,0,5,67518
Clinton,Southwest,Cincinnati,26351,18966,0.719744981,0,0,10,4066,80,0,0,3,0,514,0,0,0,0,1,33,0,1,2,127,0,0,13838
Columbiana,Northeast,Youngstown,65637,47025,0.716440422,0,0,30,12432,228,0,1,3,0,1401,0,0,0,1,0,109,0,0,0,320,0,0,31676
Coshocton,Central,Columbus,22905,15865,0.692643528,0,0,4,4013,115,0,4,3,0,468,0,0,0,0,0,42,0,0,0,118,0,0,10785
Crawford,Central,Columbus,28096,19534,0.695259112,0,0,8,4625,121,0,0,0,0,714,1,0,0,0,0,38,0,0,0,119,0,0,13611
Cuyahoga,Northeast,Cleveland,890626,617350,0.693164134,2,3,99,398271,1878,0,9,11,2,12993,8,0,5,3,48,1020,5,6,6,5242,0,0,184211
Darke,West,Dayton,34063,25821,0.758036579,0,0,10,4470,123,0,1,1,0,649,1,0,0,0,0,68,0,0,0,149,0,0,20012
Defiance,Northwest,Toledo,25629,18603,0.725857427,0,0,17,5368,128,0,0,2,0,782,0,0,0,0,5,49,0,0,0,153,0,0,11688
Delaware,Central,Columbus,133074,106996,0.804033846,0,0,27,40872,333,0,43,6,0,4116,0,0,0,0,6,221,0,0,0,668,0,0,57568
Erie,Northeast,Cleveland,53103,38478,0.724591831,0,0,7,16057,229,0,0,0,0,1225,0,1,2,0,4,60,2,1,0,342,0,0,19648
Fairfield,Central,Columbus,100115,74225,0.741397393,0,0,52,24881,373,1,9,9,0,2439,1,0,1,0,7,267,0,0,1,558,0,0,44314
Fayette,Central,Columbus,16247,11325,0.697051763,0,0,6,2739,50,0,1,0,0,295,0,0,0,0,0,19,0,0,0,57,0,0,7995
Franklin,Central,Columbus,843481,593435,0.703554674,4,0,210,351198,1866,0,428,28,1,19725,11,0,16,2,73,2118,2,5,13,6106,3,0,199331
Fulton,Northwest,Toledo,29058,21602,0.743409732,0,0,27,6069,139,0,0,0,0,1024,7,0,0,0,2,81,0,0,0,167,0,0,13709
Gallia,Southeast,Charleston,18831,13250,0.703626998,0,0,8,2628,83,0,0,0,0,285,0,0,0,0,0,7,0,0,0,98,0,0,9822
Geauga,Northeast,Cleveland,64856,51580,0.795300358,0,0,13,17569,228,0,1,1,0,1502,0,0,1,0,1,63,1,0,1,333,0,0,30227
Greene,West,Dayton,114521,83701,0.730879053,0,0,9,28943,302,0,0,0,0,3277,0,0,0,0,5,101,0,0,1,680,0,0,48540
Guernsey,Southeast,Columbus,24186,16852,0.696766725,0,0,11,4359,84,0,0,0,0,549,0,0,0,0,0,10,0,0,0,99,0,0,11445
Hamilton,Southwest,Cincinnati,580341,417456,0.719328808,0,0,98,215719,1211,0,6,18,0,13200,2,10,6,0,64,1377,1,5,2,3723,1,1,173665
Hancock,Northwest,Toledo,50411,36571,0.725456746,1,0,40,9609,217,0,1,5,0,1535,4,0,1,0,7,97,0,4,0,319,0,0,24183
Hardin,Central,Columbus,18035,12516,0.69398392,0,0,1,2920,79,0,0,1,0,465,0,0,0,0,0,26,0,3,2,80,0,0,8717
Harrison,Southeast,Wheeling,10056,7231,0.71907319,0,0,2,1688,50,0,0,0,0,178,0,0,0,0,2,6,0,1,1,53,0,0,5098
Henry,Northwest,Toledo,19315,14216,0.736008284,0,0,1,3756,99,0,0,0,0,659,0,0,0,0,0,3,0,2,0,111,0,0,9301
Highland,Southwest,Cincinnati,27621,18769,0.679519206,0,0,9,3773,92,0,0,0,0,473,0,0,0,0,0,31,0,0,0,103,0,0,14020
Hocking,Central,Columbus,18444,13103,0.710420733,0,0,6,3775,82,0,1,2,0,367,1,0,0,0,3,14,0,0,0,90,0,0,8497
Holmes,Northeast,Cleveland,17938,11654,0.649682239,0,0,17,1788,62,0,0,0,0,374,1,0,0,0,0,39,0,0,0,53,0,0,8720
Huron,Northeast,Cleveland,35732,25343,0.709252211,0,0,6,7192,244,0,0,5,0,923,0,0,1,0,0,45,0,0,0,192,0,0,16226
Jackson,Southeast,Charleston,21235,13951,0.656981399,0,0,0,3226,75,0,0,0,0,373,1,0,0,0,0,5,0,0,0,64,0,0,9949
Jefferson,Southeast,Wheeling,47714,32904,0.68960892,0,0,6,9675,196,0,0,0,0,841,0,0,1,1,54,114,0,2,0,194,0,0,21117
Knox,Central,Columbus,40590,29278,0.721310668,0,0,13,8171,164,0,3,0,1,936,2,0,0,0,1,55,0,1,1,208,0,0,19131
Lake,Northeast,Cleveland,155424,118729,0.763903902,0,0,27,46397,522,0,2,6,0,3833,6,0,2,0,9,238,0,0,3,946,0,0,64255
Lawrence,Southeast,Charleston,44143,27239,0.617062728,0,0,6,6974,142,0,2,0,0,589,0,0,0,0,2,43,0,0,0,160,0,0,18689
Licking,Central,Columbus,117019,84629,0.723207342,0,0,49,27376,462,0,14,2,0,2708,1,0,1,0,6,174,0,1,1,725,0,0,51241
Logan,West,Dayton,30684,22019,0.717605267,0,0,10,4647,127,0,1,2,0,657,0,0,0,0,0,41,0,0,0,129,0,0,15957
Lorain,Northeast,Cleveland,206401,143296,0.694260202,2,0,48,66949,735,0,0,8,0,4548,3,0,2,0,10,183,0,0,1,1255,0,0,66818
Lucas,Northwest,Toledo,300920,200973,0.66786189,0,0,88,110833,857,0,2,6,0,7410,5,0,2,4,13,383,0,3,0,2252,0,0,75698
Madison,Central,Columbus,24035,17685,0.735801955,0,0,17,4779,85,0,4,2,0,600,0,0,0,0,1,61,0,0,0,110,0,0,11631
Mahoning,Northeast,Youngstown,166107,117636,0.708194116,0,0,35,57381,431,1,0,1,0,2606,0,0,0,0,5,119,2,0,1,874,0,0,53616
Marion,Central,Columbus,39530,26885,0.680116367,0,0,12,7928,158,0,0,0,0,986,0,0,1,0,1,37,0,0,0,238,0,0,16961
Medina,Northeast,Cleveland,121238,93198,0.768719378,0,2,38,32182,395,0,4,6,0,2975,5,0,6,0,8,226,0,1,2,709,4,0,54810
Meigs,Southeast,Charleston,15148,10192,0.672828096,0,0,1,2260,63,0,0,0,0,280,0,0,0,0,0,6,0,0,0,66,0,0,7309
Mercer,West,Dayton,28731,22053,0.767568132,0,0,4,3384,120,0,0,3,0,562,0,0,0,0,4,33,0,0,0,110,0,0,17506
Miami,West,Dayton,72257,53567,0.741339939,0,0,27,13120,229,0,1,0,1,1837,2,0,1,1,7,110,0,0,3,315,1,0,37079
Monroe,Southeast,Wheeling,9641,7040,0.730214708,0,0,0,1662,64,0,0,0,0,162,0,0,0,0,0,3,0,0,0,36,0,0,4868
Montgomery,West,Dayton,372674,261989,0.702997794,0,0,88,122016,905,0,2,11,0,8387,6,0,3,0,24,645,0,3,2,2282,18,0,123909
Morgan,Central,Columbus,9005,6607,0.733703498,0,0,0,1736,37,0,0,0,0,192,0,0,0,0,0,2,0,0,0,45,0,0,4431
Morrow,Central,Columbus,24860,16820,0.676588898,0,0,3,3761,101,0,7,0,1,569,0,0,0,0,0,56,0,0,0,102,0,0,11948
Muskingum,Central,Zanesville,53925,37708,0.699267501,0,0,6,11123,240,0,1,3,0,1244,0,0,0,0,4,53,0,0,0,261,0,0,24056
Noble,Southeast,Columbus,8117,6165,0.759517063,0,0,0,1221,53,0,1,0,0,152,0,0,0,0,0,3,0,0,0,34,0,0,4549
Ottawa,Northwest,Toledo,29606,22678,0.76599338,0,0,2,8285,140,0,0,0,0,957,2,0,0,0,2,29,0,1,0,147,0,0,12653
Paulding,West,Ft. Wayne,12699,9220,0.726041421,0,0,5,2093,78,0,0,1,0,279,0,0,0,0,0,13,0,0,0,78,0,0,6500
Perry,Central,Columbus,22087,15337,0.694390365,0,0,4,4138,105,0,1,0,0,405,1,0,0,0,2,8,0,0,0,103,0,0,10228
Pickaway,Central,Columbus,34056,25257,0.741631431,0,0,13,6529,114,0,0,3,0,756,0,0,0,0,4,70,0,0,0,180,0,0,17076
Pike,Central,Columbus,18243,12218,0.669736337,0,0,2,3539,83,0,2,0,0,283,0,0,0,0,0,10,0,0,0,58,0,0,7902
Portage,Northeast,Cleveland,107183,77602,0.724014069,0,1,18,32397,411,1,1,2,0,2415,2,1,7,0,1,69,0,0,2,840,0,0,39971
Preble,West,Dayton,27815,20887,0.750925759,0,0,1,4325,102,0,0,0,0,553,0,0,0,0,0,12,0,0,0,126,0,0,15446
Putnam,Northwest,Lima,23507,19161,0.815118901,0,0,6,2922,119,0,0,0,0,638,0,1,0,0,5,40,0,2,1,72,0,0,14961
Richland,Northeast,Cleveland,81942,56106,0.684703815,0,0,30,16085,353,0,0,15,0,1637,3,0,0,0,0,113,0,1,0,387,0,0,36590
Ross,Central,Columbus,44003,30935,0.703020249,0,0,18,10356,163,0,2,2,1,934,0,0,0,1,1,41,0,0,0,209,0,0,18652
Sandusky,Northwest,Toledo,39691,28688,0.722783503,0,0,10,9929,190,0,0,0,0,1263,2,0,0,1,2,20,0,0,0,311,0,0,16316
Scioto,Southeast,Charleston,46386,31513,0.679364463,0,0,3,9132,165,0,0,6,0,699,0,0,0,0,0,12,0,0,0,217,0,0,20550
Seneca,Northwest,Toledo,34399,24568,0.714206808,0,0,7,7404,187,0,0,3,0,1302,0,0,0,1,0,15,1,0,0,242,0,0,14825
Shelby,West,Dayton,33984,24116,0.70962806,0,0,17,4243,132,0,1,0,0,594,2,0,0,0,3,33,0,0,0,125,0,0,18590
Stark,Northeast,Cleveland,249902,178605,0.714700162,0,0,59,68146,1062,0,2,9,0,5693,4,0,3,1,12,463,0,3,0,1393,1,0,98388
Summit,Northeast,Cleveland,360766,263518,0.73044023,0,0,97,134256,1041,0,6,16,0,7472,3,0,17,0,57,643,5,2,7,2330,1,0,112026
Trumbull,Northeast,Youngstown,140077,97700,0.697473532,0,0,31,43014,535,0,1,1,0,2489,1,0,1,0,3,78,0,0,2,849,0,0,49024
Tuscarawas,Northeast,Cleveland,58365,42154,0.722247923,0,0,7,12188,261,0,1,5,0,1606,2,0,0,0,2,11,0,0,1,287,0,0,26918
Union,Central,Columbus,36206,27959,0.772220074,0,0,17,7718,121,0,3,0,0,1119,2,0,2,0,0,143,0,1,0,207,0,0,18096
Van Wert,West,Ft. Wayne,19668,14062,0.714968477,0,0,0,2697,69,0,0,0,0,429,1,0,0,0,0,0,0,0,0,105,0,0,10469
Vinton,Southeast,Charleston,8349,5662,0.67816505,0,0,0,1351,57,0,0,0,0,168,0,0,0,0,0,0,0,0,0,43,0,0,3883
Warren,Southwest,Cincinnati,152192,119450,0.784863856,0,0,39,33730,341,1,1,3,0,4335,4,1,4,1,15,434,0,0,0,715,0,0,77643
Washington,Southeast,Parkersburg/Marietta,42319,30567,0.722299676,0,0,6,8026,184,0,0,0,1,892,0,0,0,0,0,9,0,0,0,208,0,0,20514
Wayne,Northeast,Cleveland,74772,50845,0.680000535,0,0,38,15031,312,0,2,5,0,1624,2,0,0,0,1,187,0,2,0,379,0,0,32270
Williams,Northwest,Toledo,24736,17670,0.714343467,0,0,7,4358,131,0,0,2,0,703,1,0,0,0,2,35,0,0,0,130,0,0,11939
Wood,Northwest,Toledo,93751,65551,0.699203208,0,0,29,27318,344,0,1,0,0,3264,2,0,0,0,17,178,0,0,1,689,0,0,32498
Wyandot,Northwest,Toledo,15586,10733,0.688630823,0,0,8,2515,63,0,1,2,0,437,0,0,0,0,0,13,0,0,0,85,0,0,7468
